Ground Truth,Prediction
sopra,tob
scendi,
nave, ಎದ
apri rubrica 3,tasturite
aggiungi,ali
cancella contatto,exact with us
scendi, PANI
deseleziona,
scorri verso l alto,sali kali
sette,sayshi
richiama,aliyaali
sopra,sabrahti
terminare, PRACTICAL THRUMP UP
nuovo contatto,novecatech
disattiva vivavoce,aggi vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai viv
nove,ःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
chiudi,
apri,aggi
muovi,mali
zelo,tastu
preferiti,raise
termina chiamata, तेदबच्दःदःदःद
chiama,due to the video description.
top,tap
tre,sattrava
salva,due to the video description.
apri rubrica 2,apriyaali
sezione,
scorri verso il basso,
vai alla tastiera,
chiudi rubrica, yairoli
nave, PRACTICE PRACTICE PRACTICE PRACTICE PRACTICE PRACTICE PRACTICE PRACTICE PRACTICE PRACTICE PRACTICE PRACTICE PRACTICE PRACTICE PRACTICE PRACTICE PRACTICE PRACTICE PRACTICE PRACTICE PRACTICE PRACTICE PRACTICE PRACTICE PRACTICE PRACTICE PRACTICE PRACTICE PRACTICE PRACTICE PRACTICE
sotto,tasti
esci da rubrica, ಎದ
due, ಎದ
mali,sali
rubrica, lukesh
rimuovi,tasturnavai
indietro,tumneva
vai nella rubrica,sali
seleziona, Kitchen
cinque,
chiamata,sela
cancella tutto,aijata
chiudi applicazione,tastinabudi
cella, ಎದ
attiva vivavoce,tairochita
tastiera,च्द्द्द
bue,ali
tra, ಎದ
otto,
aggiungi ai preferiti,
chiama ultimo numero,ukasana
muto,sorti
vai nel registro chiamate,sali
apri rubrica 1,novec
no,
fai una telefonata,अईईईईईई
raggiungi,sali
vai alla pagina principale,
quattro,bapriya
sali,sali
vivavoce, you like
zero,s
stop, अच्छ
si,
sei,
vai nei preferiti,sali
scesi,
cancella,
chiama emergenza,sevaiite
uno, more
sette,apriya
sopra,apriya
apri,apri
chiudi,sali
zelo, more
richiama,चाल्व
scorri verso il basso,sali kalaikata
chiama,tasturna
vai alla tastiera,l
uno, more depth
raggiungi,vairochi
nave, PAUSE
chiudi applicazione,
chiama emergenza,duevvaii dindu
rimuovi,alive
rubrica,ali
vai alla pagina principale, nai nai nai nai nai nai nai nai nai nai nai nai nai nai nai nai nai nai nai nai nai nai nai nai nai nai nai nai nai nai nai nai nai nai nai nai nai nai nai nai nai nai nai nai nai nai nai nai nai nai nai nai nai nai nai nai nai nai nai nai nai nai
aggiungi,vairoli
sei, pout
scendi,bawla
cancella contatto, you can also use this as a reference
sotto,apriya
cancella tutto, you can't do the right way
disattiva vivavoce, अच्याएःःएःएःएःःः
bue,buehue
tra,ःःः
muovi,mali
nove,novella
salva,muovo
seleziona,अच्याल्च्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्�
quattro,ःचद
apri rubrica 1,apriyaṃapriyaṃapriyaṃapriyaṃapriyaṃapriyaṃapriyaṃapriyaṃapriyaṃapriyaṃapriyaṃapriyaṃapriyaṃapriyaṃapriyaṃapriyaṃapriyaṃapriyaṃapriyaṃapriyaṃapriyaṃapriyaṃapriyaṃapriyaṃapriya�
vai nel registro chiamate,
esci da rubrica,aggi ai rubrihi
tre,अः
cella,च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्�
sali,sali
tastiera,च्याःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
no, uh
top,tap
termina chiamata,tapu
apri rubrica 2,apriya vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi viv
chiamata,tasturnavaijata
scorri verso l alto,tastu
preferiti,tasturnavaijita
vai nei preferiti,apriyaalaijita
attiva vivavoce,aprirologue
due,tata
chiudi rubrica, yabai
indietro, more
zero, wow
chiama ultimo numero, yama teruva
stop,tap
aggiungi ai preferiti,ali
terminare,tapu nama
apri rubrica 3,aprileaks
sezione, अच्याल
si,top 2
cinque,si
cancella,ankana
scesi,sali
deseleziona, अःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
mali, PRAI
vai nella rubrica,ali
fai una telefonata, PRADURA
otto,latt
vivavoce,tavojiti
muto, ಎದ
nuovo contatto,tastu
sopra,
deseleziona, भीःएश्देःद्द
preferiti,apriya jai jai
sette,
no,sattrava
chiama emergenza,
richiama,l
apri rubrica 2,aprilevi vivasiti vivasiti vivasiti vivasiti vivasiti vivasiti vivasiti vivasiti vivasiti vivasiti vivasiti vivasiti vivasiti vivasiti vivasiti vivasiti vivasiti vivasiti vivasiti vivasiti vivasiti vivasiti vivasiti vivasiti vivasiti vivasiti vivasiti vivasiti vivasiti vivasiti vivasiti vivasiti vivasiti vivasiti vivasiti vivasiti vivasiti vivasiti vivasiti vivasiti
vai nei preferiti,vairoga chastra chastra
chiudi rubrica,
chiama ultimo numero, you enjoy the video
cinque,
vai alla pagina principale, ಎದ
aggiungi,
sezione, अच्चाल्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्
nove, ಎವ
apri rubrica 3,ali tervai tervai tervai tervai tervai tervai tervai tervai tervai tervai tervai tervai tervai tervai tervai tervai tervai tervai tervai tervai tervai tervai tervai tervai tervai tervai tervai tervai tervai tervai tervai tervai tervai tervai tervai tervai tervai tervai tervai tervai tervai
apri,apriya
fai una telefonata,
tre,tap
esci da rubrica,ali
si,si
zelo, yeah
sotto,sali
vai nella rubrica,
top,
terminare,tasturnavai
muovi,sali
due,exe
nuovo contatto,
salva,
nave, more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more
scorri verso l alto,
aggiungi ai preferiti,aggi vivaii
quattro,
raggiungi,aliuvi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi viv
mali,
cella,cali
vai nel registro chiamate,
attiva vivavoce,च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्�
tastiera,
scorri verso il basso,tasturnavastri
bue, more
tra,
chiamata,sairo
termina chiamata,tasturna
vai alla tastiera,sali
otto, PRACTICE
muto,
indietro, ಎದ
scendi,sali
disattiva vivavoce, ಎ
cancella,
cancella contatto, अच्च्ट्ःःअःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः�
rubrica,tasturnavaijata
rimuovi,tasturnavaijata
scesi,
seleziona,
sali, PAUSE
cancella tutto, more in the description
chiama,sali
zero,sali
uno,
stop,apriya
vivavoce,rave
chiudi,cai tuvi
chiudi applicazione, अच्च्छःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
sei,saii
apri rubrica 1,love you
deseleziona, ಎದ
otto,sata
muovi,nove
quattro,sai chauh
termina chiamata, तद्दददददददद
tre,ःःः
cinque,
top, च्याएप्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्
nuovo contatto,novella.com
sotto, अच्छ़ट्ःःएच्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्�
vai nei preferiti, by the hand
aggiungi,apriya
zero,
stop,sap
chiudi applicazione, तियोंःविःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः�
sopra,siapa
sette,ata
vivavoce, yamata
vai alla tastiera,vaiyashakti maa
uno,
apri rubrica,tastu
no, here
chiama ultimo numero, Da må jeg ta ut en telefon.
terminare, तद्ःःद
cancella,sindhi
fai una telefonata,अईईईईईईईईई
scesi, अश्वःद
scendi,sama
si, ok
tra, ok
indietro,ali
cella, more
chiudi,trivi
tastiera,
apri,ali
zelo,tastu
cella,fomra
scorri verso l’alto,squarela
sali,sali
uno,saliya
cinque,siiva
vivavoce, अःएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएए
scorri verso il basso, अच्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च
chiama emergenza, तवःएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएए
sei,sang
si, ok
stop, तिस्त्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्
seleziona, च्यदःविः
vai nei preferiti, like mevaii
zero,
cancella,cancella
vai nella rubrica,vaiyaivi
rimuovi, अईईईईईईई
rubrica,november 2
indietro,nama
tra,mataata
bue,due
chiamata, Clamata.
scesi,
mali,nave
tastiera,
aggiungi ai preferiti, more detail
raggiungi,tatt i rubriken
otto,mata
quattro,ratt omtatt
muto,nata
no,nån
scendi,sana
sette,aggi
cancella tutto, तद्ददददद
due,draga dvruta
terminare,tastu
chiudi applicazione, you will never forget me
sopra,choppa
zelo,novemme
chiama ultimo numero, च्याःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः�
apri,maple
cancella contatto,dont forget to subscribe to my channel
fai una telefonata, ಎದ
tre,ta
nave,deselezuernavngi
apri rubrica,apri rubra rubra rubra rubra rubra rubra rubra rubra rubra rubra rubra rubra rubra rubra rubra rubra rubra rubra rubra rubra rubra rubra rubra rubra rubra rubra rubra rubra rubra rubra rubra rubra rubra rubra rubra rubra rubra rubra rubra rubra rubra rubra rubra rubra rubra rubra rubra rubra rubra rubra rubra rubra rubra rubra rubra rubra rubra rubra rubra rubra rubra
nuovo contatto, youmali dastur
top,tastet
deseleziona,fattes på telefon.
aggiungi,along
chiudi rubrica, च्योईबईट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट
